Cycle No.,Cyctype,Date,Site,Location,Group,Plot,New tags ,Dead tags,Species,Tagstatus,,October dead cycle,,,,,,,,
1,N,17-Oct-15,S4,L1,G1,1,1,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L1,G1,2,0,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L1,G1,5,1,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L1,G1,5,2,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L1,G1,6,0,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L1,G1,7,1,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L1,G2,1,0,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L1,G2,2,0,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L1,G2,5,0,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L1,G2,6,0,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L1,G2,7,0,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L1,G3,1,0,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L1,G3,2,0,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L1,G3,5,0,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L1,G3,6,0,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L1,G3,7,0,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L2,G1,1,1,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L2,G1,2,0,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L2,G1,5,0,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L2,G1,6,0,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L2,G1,7,0,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L2,G2,1,1,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L2,G2,2,0,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L2,G2,5,1,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L2,G2,5,2,NA,,T,,,,,,,,,,
